,s2_id,s2_token,num,name,lat,lng,encounter_ms,disppear_ms,zip code
0,-9182982313653305000,808f7e3d12d,25,Pikachu,37.7599126803964,-122.422613963572,1469521009940,1469520265691,94110
1,-9182898095787082000,808fcad5a05,25,Pikachu,37.30482331303,-121.94886641408999,1469520664820,1469520277694,95128
2,-9182898104377016000,808fcad3c37,25,Pikachu,37.3046382560925,-121.95473220717699,1469520463260,1469520277690,95117
3,-9182898104377016000,808fcad3c37,25,Pikachu,37.3046382560925,-121.95473220717699,1469520463260,1469520277695,95117
4,-9182898095787082000,808fcad5a05,25,Pikachu,37.30482331303,-121.94886641408999,1469520664820,1469520277694,95128
5,-9183346168250237000,808e3350a6d,25,Pikachu,37.309021771801895,-121.89508206697201,1469520294196,1469520278277,95125
6,-9183346125300564000,808e335a865,25,Pikachu,37.3089585741076,-121.893036854977,1469520601332,1469520278276,95125
7,-9182897694207640000,808fcb33779,25,Pikachu,37.309967145490496,-121.931000478938,1469520842436,1469520278412,95128
8,-9183344647831814000,808e34b2e75,25,Pikachu,37.3110529177557,-121.91562100763001,-1,1469520278514,951251
9,-9182921589258191000,808fb577bf5,25,Pikachu,37.3223720539744,-122.005911265453,-1,1469520279741,95014-3522
10,-9182897543883784000,808fcb5661f,25,Pikachu,37.3213545445709,-121.904596250788,1469520905404,1469520279862,95126
11,-9183346294951772000,808e33331f1,25,Pikachu,37.3244504433735,-121.870714907199,1469520733860,1469520280222,95112
12,-9182897636225581000,808fcb40c69,25,Pikachu,37.3253534630756,-121.92282206793502,1469520920708,1469520280345,95128
13,-9182897636225581000,808fcb40c69,25,Pikachu,37.3253534630756,-121.92282206793502,1469520920708,1469520280347,95128
14,-9182898463006786000,808fca805d5,25,Pikachu,37.3269754675514,-121.99063113531601,1469521120116,1469520280441,95051
15,-9182898430794531000,808fca87e8d,25,Pikachu,37.3297910102356,-121.98227946437001,-1,1469520280759,95051
16,-9182897936873292000,808fcafae1f,25,Pikachu,37.330520350522,-121.955887553726,1469521156252,1469520280945,95050
17,-9182898624068059000,808fca5af45,25,Pikachu,37.3447364549983,-121.96033108097099,1469520723700,1469520282434,95050
18,-9182895804422029000,808fcceb75d,25,Pikachu,37.3472040096829,-121.87631805065901,1469520332756,1469520282653,95112
19,-9182898731442242000,808fca41ac3,25,Pikachu,37.351681552490895,-121.967706938907,1469520716876,1469520283117,95050-3653
20,-9182898941895639000,808fca10e87,25,Pikachu,37.359307678858,-121.97730369798201,1469520669116,1469520284022,95051
21,-9182898941895639000,808fca10e87,25,Pikachu,37.359307678858,-121.97730369798201,1469520669116,1469520284022,95051
22,-9182897333430387000,808fcb8708f,25,Pikachu,37.361353839935106,-121.903796023927,1469520417660,1469520284267,95110
23,-9182920932128195000,808fb610dd3,25,Pikachu,37.3752576399458,-122.00635542333201,1469521086060,1469520285794,95086
24,-9182899631237890000,808fc970065,25,Pikachu,37.3927605056089,-121.936511674012,1469520406708,1469520287957,95134
25,-9182899813774000000,808fc945937,25,Pikachu,37.4027723942605,-121.914198520304,1469520377532,1469520289138,95035
26,-9182899813774000000,808fc945937,25,Pikachu,37.4027723942605,-121.914198520304,1469520377532,1469520289141,95035
27,-9182901001332457000,808fc8315c3,25,Pikachu,37.4143696798416,-121.976948277447,1469520451180,1469520290392,95002
28,-9182900217500926000,808fc8e7d1f,25,Pikachu,37.433307196425204,-121.927000245119,1469520953916,1469520292657,95134
29,-9182901123739025000,808fc814ab3,25,Pikachu,37.4351155604876,-121.970106207451,1469521086060,1469520292757,95002
30,-9182900793026544000,808fc861ce7,25,Pikachu,37.4398498494022,-121.94815538758002,1469520828124,1469520293399,95134-1358
31,-9182920075282219000,808fb6d836b,25,Pikachu,37.37870106403471,-122.071271839734,1469521107340,1469520477731,94040
32,-9182926595042574000,808fb0ea1b7,25,Pikachu,37.3846045198234,-122.107309902358,1469520486812,1469520478284,94022
33,-9182926711006691000,808fb0cf5d3,25,Pikachu,37.3870741640584,-122.09444054174601,1469520668940,1469520478571,94040
34,-9182902227545620000,808fc713b87,25,Pikachu,37.502098124156,-121.965840804855,1469522091484,1469521684934,94538
35,-9182902227545620000,808fc713b87,25,Pikachu,37.502098124156,-121.965840804855,1469522091484,1469521685084,94538
36,-9182918015845401000,808fb8b7ae9,25,Pikachu,37.505950204350206,-122.013195226565,1469522395044,1469521685309,94560
37,-9182902072926798000,808fc737aad,25,Pikachu,37.5200815459164,-121.967351487251,1469521861076,1469521686858,94538
38,-9182902098696602000,808fc731a4d,25,Pikachu,37.5228613686741,-121.96086429215,1469522569172,1469521687169,94538
39,-9182910761645638000,808fbf50bef,25,Pikachu,37.5261363671817,-121.999692865571,1469522320124,1469521687589,94560
40,-9182909245522182000,808fc0b1b91,25,Pikachu,37.5299686931805,-121.97979160943301,1469521694276,1469521687914,94538
41,-9182909245522182000,808fc0b1b91,25,Pikachu,37.5299686931805,-121.97979160943301,1469521694276,1469521687916,94538
42,-9182911000016323000,808fbf1971d,25,Pikachu,37.5314612011306,-122.030426077122,1469522157556,1469521688016,94560
